Country Name,Country Code,Year,health_exp_per_capita,health_exp_percent,health_exp_ppp_per_capita,health_exp_total,Life Expectancy
Afghanistan,AFG,2002,15.48190406,7.76307316,75.98351391,332660895.501474,56.2251
Afghanistan,AFG,2003,19.33236793,8.81605343,89.44017773,435120719.370515,57.1713
Afghanistan,AFG,2004,20.89000224,8.78670722,87.52090345,490911919.220818,57.8098
Afghanistan,AFG,2005,21.89580296,8.06810435,88.32306226,534256453.67157,58.2468
Afghanistan,AFG,2006,22.18140928,7.43397155,86.85601592,558608071.453688,58.5533
Afghanistan,AFG,2007,26.98894729,6.72831635,88.71198979,698407670.927007,58.9563
Afghanistan,AFG,2008,33.80518937,8.32809334,111.46310638,896809113.134828,59.7081
Afghanistan,AFG,2009,43.52543981,9.41897064,148.00120214,1184209306.91487,60.2478
Afghanistan,AFG,2010,52.8857608,9.19772273,153.44620572,1478802590.78948,60.7018
Afghanistan,AFG,2011,52.38254929,7.87199189,141.0557326,1509097610.44718,61.2503
Afghanistan,AFG,2012,58.16803071,8.51891268,160.36802664,1729149589.84956,61.7349
Afghanistan,AFG,2013,53.36597308,8.13486556,156.52934858,1637401469.0981,62.1878
Afghanistan,AFG,2014,56.57452735,8.18227382,166.51672658,1789311203.25348,62.2599
Angola,AGO,1995,18.00618425,6.45887795,91.4636206,234848645.386022,46.1391
Angola,AGO,1996,13.75622193,2.81473208,60.22757641,184674707.021845,46.4177
Angola,AGO,1997,19.27911944,3.4825593,79.03869714,266087861.649024,46.6882
Angola,AGO,1998,15.14206043,3.33560211,79.53522966,214831162.120842,45.4515
Angola,AGO,1999,14.23259059,3.37784418,82.08157415,207824045.868018,45.8077
Angola,AGO,2000,16.8991726,2.78728366,69.20173589,254478522.684224,46.5005
Angola,AGO,2001,30.91774474,5.38455772,137.88117252,481166399.64433,47.0323
Angola,AGO,2002,28.19059742,3.63392075,103.88967134,454141954.414473,47.8736
Angola,AGO,2003,37.44842882,4.40528442,130.48368471,625066517.568446,50.218
Angola,AGO,2004,53.4564375,4.70732007,153.300672,924555814.734326,51.1225
Angola,AGO,2005,64.68519176,4.10396002,157.52116297,1158702088.31212,52.1295
Angola,AGO,2006,102.37922537,4.54243749,209.61483939,1898261028.7315,52.9647
Angola,AGO,2007,106.60251904,3.38311163,189.90186908,2045052811.14224,54.2001
Angola,AGO,2008,163.11605053,3.84493395,242.15426374,3236589616.73807,55.2809
Angola,AGO,2009,160.83547792,4.37177378,274.73451017,3300360572.87947,56.2251
Angola,AGO,2010,131.79621085,3.39114609,215.70576571,2796709531.69995,57.242
Angola,AGO,2011,160.36072269,3.3795827,220.50028242,3518682444.06757,58.0931
Angola,AGO,2012,168.02721742,3.30479422,223.24452883,3811803620.27785,58.916
Angola,AGO,2013,225.73659246,4.26303169,301.98914889,5293117218.73252,59.7048
Angola,AGO,2014,179.35785371,3.30698293,239.01023293,4345396705.43222,60.3956
Albania,ALB,1995,51.48380136,6.59707903,196.53778549,159946115.745516,74.0218
Albania,ALB,1996,72.42532839,7.43197435,247.13767322,223941577.848512,74.1134
Albania,ALB,1997,52.94161894,7.56809993,229.83007393,163720421.255885,73.3832
Albania,ALB,1998,61.25168194,6.94329921,239.40639574,190057721.379576,74.3572
Albania,ALB,1999,75.95312403,6.86818989,263.70931176,236582664.337312,74.5684
Albania,ALB,2000,74.02882494,6.2559844,263.00226739,231115400.454433,74.8262
Albania,ALB,2001,78.66819861,6.00014389,275.86678107,245766768.60318,75.083
Albania,ALB,2002,89.9161553,6.30011348,302.72911468,280818223.611263,75.2987
Albania,ALB,2003,112.63011779,6.26700723,325.28224179,351073145.513516,75.5566
Albania,ALB,2004,153.26255007,6.37953469,361.8436802,475689865.890824,75.9515
